_id,comment_num,content,crawl_time,created_at,image_url,like_num,location_map_info,origin_weibo,repost_num,tool,user_id,weibo_url
ExDD19d4k,0,【丽江景点频陷漩涡口碑持续恶化恐影响上市公司】云南省丽江市素有旅游天堂的称号，但春节前后一系列爆粗、打人、毁容等事件，让丽江市接连陷入舆论漩涡。O网页链接​,1637487490,2017-02-28 16:56,,1,,,1,360安全浏览器,2610622521,//weibo.com/2610622521/ExDD19d4k?refer_flag=1001030103_
ExDkT4SY9,2,#我为家乡代言农产品上行#【中国青年报:丽江的塌方式舆情，资源傲慢使其触犯了所有最低级的舆情禁忌】新年以来，从古城维护费被质疑，到女游客被殴打毁容事件，到景区被国家旅游局严重警告，再到怒怼网友，一错再错，形成舆情的叠加和连绵效应，使一个游人神往的天堂在舆论形象上垮塌为望而生畏之地。O网页链接,1637487490,2017-02-28 16:11,,1,,,1,丽江超话,2393977075,//weibo.com/2393977075/ExDkT4SY9?refer_flag=1001030103_
ExCIg87ke,0,【丽江事件伤情鉴定出炉：#丽江被打毁容女子轻伤二级#】2月21日，在丽江旅游期间被殴打毁容的女子@琳哒是我的伤情鉴定结果已经出具。据丽江市公安局古城分局给出的报告称，琳哒的伤情为轻伤二级。伤情鉴定中表示，“如果对该鉴定意见有异议，可以提出补充鉴定或者重新鉴定的申请。”据悉，通常此案三年以下徒刑。,1637487490,2017-02-28 14:36,,0,,,0,微博weibo.com,3802851524,//weibo.com/3802851524/ExCIg87ke?refer_flag=1001030103_
ExChkC4tO,0,丽江的塌方式舆情，资源傲慢使其触犯了所有最低级的舆情禁忌】新年以来，从古城维护费被质疑，到女游客被殴打毁容事件，到景区被国家旅游局严重警告，再到怒怼网友，一错再错，形成舆情的叠加和连绵效应，使一个游人神往的天堂在舆论形象上垮塌为望而生畏之地。O丽江的塌方式舆情，资源傲慢使其触犯了所有最低级的舆情禁忌​,1637487490,2017-02-28 13:30,,5,,,0,微博weibo.com,1891503444,//weibo.com/1891503444/ExChkC4tO?refer_flag=1001030103_
ExBJ14ji6,6,#老马新观察#【丽江的塌方式舆情，资源傲慢使其触犯了所有最低级的舆情禁忌】新年以来，从古城维护费被质疑，到女游客被殴打毁容事件，到景区被国家旅游局严重警告，再到怒怼网友，一错再错，形成舆情的叠加和连绵效应，使一个游人神往的天堂在舆论形象上垮塌为望而生畏之地。@中青报曹林O丽江的塌方式舆情，资源傲慢使其触犯了所有最低级的舆情禁忌​​​,1637487490,2017-02-28 12:05,,4,,,10,华为P9手机摄影再突破,3052465574,//weibo.com/3052465574/ExBJ14ji6?refer_flag=1001030103_
EwBXdlw0j,3181,#丽江恶性毁容抢劫#2017年2月21日，丽江市古城分局出具对我伤情的鉴定意见------轻伤二级。只是这轻伤二级吗？那我现在的左侧上颌窦粘膜下囊肿、鼻侧长伤口处的肉触碰无知觉、表情僵硬、视力下降有漂浮物；以及被打后当时的双眼结膜下大量出血、被砸酒瓶子头皮血肿....这些都不是伤吗？我如何能接受这迟来的轻伤二级？,1637487498,2017-02-21 22:50,,1971,,,534,iPhone7Plus,5526045431,//weibo.com/5526045431/EwBXdlw0j?refer_flag=1001030103_
Ewxl7jGPh,0,如今的丽江与印象中的不同了，浓厚的商业氛围，让这座古城浓妆艳抹，少了一份情怀，多了一些生意，丽江沦陷，下一个“浪漫之地”又在哪呢？2丽江·丽江古镇#丽江打人抢劫事件#O丽江沦陷，下一个“浪漫之地”在哪？​,1637487499,2017-02-21 11:05,,9,丽江·丽江古镇,,0,专业版微博,5867502984,//weibo.com/5867502984/Ewxl7jGPh?refer_flag=1001030103_
Eub3YtJI2,0,旅途的终点，打算慢慢写下这一路辛酸冷暖，我回来了。#旅拍##云南丽江旅游打人事件#彩云之南很美，也未曾受过伤害，我相信冰冷的人情世故里依旧有光，有值得信任的人，有倾盖如故的知交不能只看到世间的恶，你会绝望会犹疑，生活就会变得死水一般2忻州·定襄县​,1637487507,2017-02-05 22:42,,3,忻州·定襄县,,0,华为Ascend手机,1971156795,//weibo.com/1971156795/Eub3YtJI2?refer_flag=1001030103_
Exdkw5gaz,0,转发理由：//@科学家种太阳:想想上次#丽江恶意毁容抢劫#事件后当地警方官博发的陌陌约炮言论，到底是谁在不停地败坏我们的人民警察形象？日常生活中接触到的那些低调的和蔼民警，都不玩微博么？//抱歉，此微博已被作者删除。查看帮助：,1637487514,2017-02-25 21:59,,0,,//weibo.com//ExbRDAsC6?refer_flag=1001030103_,0,荣耀6Plus,2822348754,//weibo.com/2822348754/Exdkw5gaz?refer_flag=1001030103_
Exco1t8En,0,转发理由：什么样的人在执法//@科学家种太阳:想想上次#丽江恶意毁容抢劫#事件后当地警方官博发的陌陌约炮言论，到底是谁在不停地败坏我们的人民警察形象？日常生活中接触到的那些低调的和蔼民警，都不玩微博么？//抱歉，此微博已被作者删除。查看帮助：,1637487514,2017-02-25 19:35,,0,,//weibo.com//ExbRDAsC6?refer_flag=1001030103_,0,SmartisanM1L,1206289021,//weibo.com/1206289021/Exco1t8En?refer_flag=1001030103_
